지역명,가게이름,별점,리뷰갯수,사장리뷰,얼마이상,소요시간
가회동,커피앳웍스-이마빌딩광화문점,★ 4.7,286,사장님 리뷰가 없어요,"12,000원 이상 배달",44~54분
가회동,MeatDelicious강호동백정,★ 4.9,69,사장님 리뷰가 없어요,"18,000원 이상 배달",65~75분
가회동,전곱-종로직영점,★ 4.9,145,사장님 리뷰가 없어요,"20,000원 이상 배달",59~69분
가회동,치치-대학로점,★ 4.9,190,사장님 리뷰가 없어요,"13,000원 이상 배달",45~55분
가회동,반미362-대학로점,★ 4.9,189,사장님 리뷰가 없어요,"15,000원 이상 배달",27분
가회동,익선동맛집,★ 4.9,276,사장님 리뷰가 없어요,"10,000원 이상 배달",45~55분
가회동,GrabBurger,★ 4.6,73,사장님 리뷰가 없어요,"12,000원 이상 배달",53~63분
가회동,소담사골순대국-대학로점,★ 5.0,29,사장님 리뷰가 없어요,"13,000원 이상 배달",45~55분
가회동,진원조닭한마리-관철점,★ 4.7,72,사장님 리뷰가 없어요,"13,000원 이상 배달",24분
가회동,브라운돈까스-성북구청점,★ 4.7,131,사장님 리뷰가 없어요,"10,000원 이상 배달",34분
가회동,크리스탈드래곤&홍콩음식전문점,★ 4.7,9,사장님 리뷰가 없어요,"13,000원 이상 배달",27분
가회동,발리커피,★ 5.0,3,사장님 리뷰가 없어요,"10,000원 이상 배달",44~54분
가회동,화목식당,★ 4.7,116,사장님 리뷰가 없어요,"12,000원 이상 배달",23분
가회동,내가찜한닭-대학로점,★ 4.9,948,사장님 리뷰가 없어요,"19,000원 이상 배달",85~95분
가회동,호로록분식-종로점,★ 4.9,19,사장님 리뷰가 없어요,"13,000원 이상 배달",24분
가회동,을지로어시장,★ 4.9,138,사장님 리뷰가 없어요,"25,000원 이상 배달",28분
가회동,라라브레드-안국점,★ 4.6,144,사장님 리뷰가 없어요,"12,000원 이상 배달",25분
가회동,아벤트리호텔에비뉴65,★ 4.8,280,사장님 리뷰가 없어요,"13,000원 이상 배달",45~55분
가회동,야식천국-종로점,★ 4.5,15,사장님 리뷰가 없어요,"12,000원 이상 배달",45~55분
가회동,골목식당필동함박-본점,★ 4.9,388,사장님 리뷰가 없어요,"8,500원 이상 배달",30분
가회동,피자마루-냉천점,★ 4.8,559,사장님 리뷰가 없어요,"10,000원 이상 배달",55~65분
가회동,마포마라탕,★ 4.6,38,사장님 리뷰가 없어요,"12,000원 이상 배달",33분
가회동,본도시락-광화문점,★ 5.0,1,사장님 리뷰가 없어요,"15,000원 이상 배달",35~45분
가회동,카페종로시장,★ 4.6,583,사장님 리뷰가 없어요,"11,000원 이상 배달",30분
가회동,카페사사,★ 4.9,435,사장님 리뷰가 없어요,"9,000원 이상 배달",25~35분
가회동,PB델리-종로구청점,★ 4.7,217,사장님 리뷰가 없어요,"11,000원 이상 배달",45~55분
가회동,꼬마네,★ 4.8,501,사장님 리뷰가 없어요,"15,000원 이상 배달",30분
가회동,쏘핫마라탕&마라샹궈-1호점,★ 4.8,132,사장님 리뷰가 없어요,"12,000원 이상 배달",27분
가회동,카페아에-종로점,★ 4.8,290,사장님 리뷰가 없어요,"10,000원 이상 배달",52~62분
가회동,육회한연어-대학로점,★ 4.8,52,사장님 리뷰가 없어요,"16,000원 이상 배달",21분
가회동,가장맛있는족발-동묘점,★ 4.5,20,사장님 리뷰가 없어요,"30,000원 이상 배달",20~30분
가회동,광화문허니떡볶이,★ 4.4,263,사장님 리뷰가 없어요,"13,000원 이상 배달",43~53분
가회동,만족오향족발-시청본점,★ 5.0,8,사장님 리뷰가 없어요,"30,000원 이상 배달",25분
가회동,종로족빨,★ 4.8,38,사장님 리뷰가 없어요,"25,000원 이상 배달",26분
가회동,배스킨라빈스-한성대입구역점,★ 4.6,300,사장님 리뷰가 없어요,"13,500원 이상 배달",53~63분
가회동,대한칡냉면&돈까스,0,0,사장님 리뷰가 없어요,"14,000원 이상 배달",35분
가회동,지코바치킨-독립문점,0,0,사장님 리뷰가 없어요,"17,000원 이상 배달",49~59분
가회동,애정마라샹궈,0,0,사장님 리뷰가 없어요,"13,000원 이상 배달",31분
가회동,혜화곱창,0,0,사장님 리뷰가 없어요,"30,000원 이상 배달",55~65분
가회동,홍곱창-대학로직영점,0,0,사장님 리뷰가 없어요,"12,000원 이상 배달",26분
가회동,오수,0,0,사장님 리뷰가 없어요,"12,000원 이상 배달",29분
가회동,처갓집양념치킨-독립문점,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",68~78분
가회동,파스타입니다-성북구청점,0,0,사장님 리뷰가 없어요,"6,000원 이상 배달",26분
가회동,시래꽃,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",23분
가회동,아리샾,0,0,사장님 리뷰가 없어요,"10,000원 이상 배달",30분
가회동,60계치킨-서울대학로점,0,0,사장님 리뷰가 없어요,"15,900원 이상 배달",49~59분
가회동,청담동마녀김밥-광화문점,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",24분
가회동,차니오뎅,0,0,사장님 리뷰가 없어요,"18,000원 이상 배달",26분
가회동,인생닭강정-창신점,0,0,사장님 리뷰가 없어요,"13,500원 이상 배달",30분
가회동,파리크라상-광화문점,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",65~75분
가회동,스시사소우,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",48~58분
가회동,광화문뚝감,0,0,사장님 리뷰가 없어요,"21,000원 이상 배달",24분
가회동,배스킨라빈스-동숭아트점,0,0,사장님 리뷰가 없어요,"13,500원 이상 배달",65~75분
가회동,죠스떡볶이-종각점,0,0,사장님 리뷰가 없어요,"15,500원 이상 배달",50~60분
가회동,창신육회-4호점,0,0,사장님 리뷰가 없어요,"20,000원 이상 배달",23분
가회동,멘야산다이메-대학로점,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",25분
가회동,찜이로닭-찜닭본점,0,0,사장님 리뷰가 없어요,"9,000원 이상 배달",29분
가회동,푸라닭-독립문역점,0,0,사장님 리뷰가 없어요,"15,900원 이상 배달",37~47분
가회동,삼첩분식-서울종각점,0,0,사장님 리뷰가 없어요,"14,000원 이상 배달",55~65분
가회동,길가온-종로점,0,0,사장님 리뷰가 없어요,"20,000원 이상 배달",27분
가회동,진수성찬한식전문점,0,0,사장님 리뷰가 없어요,"10,000원 이상 배달",48~58분
가회동,알촌 동국대점,0,0,사장님 리뷰가 없어요,"6,000원 이상 배달",35분
가회동,광화문도시락,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",30분
가회동,해담아구찜&해물찜-신당점,0,0,사장님 리뷰가 없어요,"18,000원 이상 배달",55~65분
가회동,공차-명동역점,0,0,사장님 리뷰가 없어요,"10,000원 이상 배달",25분
가회동,어사출또-성신여대역점,0,0,사장님 리뷰가 없어요,"22,000원 이상 배달",35분
가회동,대봉수대학로족발&보쌈,0,0,사장님 리뷰가 없어요,"25,000원 이상 배달",35~45분
가회동,개미집-종로점,0,0,사장님 리뷰가 없어요,"20,000원 이상 배달",23분
가회동,피자피자,0,0,사장님 리뷰가 없어요,"14,000원 이상 배달",45~55분
가회동,본우리반상-그랑서울점,0,0,사장님 리뷰가 없어요,"15,000원 이상 배달",24분
가회동,왕십리불난막창,0,0,사장님 리뷰가 없어요,"23,000원 이상 배달",28분
가회동,멕시카나-종로점,0,0,사장님 리뷰가 없어요,"16,000원 이상 배달",45~55분
